Sum of GoalsScored,Column Labels,,,,,,,,,
Row Labels,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Arsenal,72,74,72,68,71,65,77,74,73,56
Aston Villa,48,37,47,39,31,27,,,,41
Birmingham,37,,,,,,,,,
Blackburn,46,48,,,,,,,,
Blackpool,55,,,,,,,,,
Bolton,52,46,,,,,,,,
Bournemouth,,,,,,45,55,45,56,40
Brighton,,,,,,,,34,35,39
Burnley,,,,,28,,39,36,45,43
Cardiff,,,,32,,,,,34,
Chelsea,69,65,75,71,73,59,85,62,63,69
Crystal Palace,,,,33,47,39,50,45,51,31
Everton,51,50,55,61,48,59,62,44,54,44
Fulham,49,48,50,40,,,,,34,
Huddersfield,,,,,,,,28,22,
Hull,,,,38,33,,37,,,
Leicester,,,,,46,68,48,56,51,67
Liverpool,59,47,71,101,52,63,78,84,89,85
Man City,60,93,66,102,83,71,80,106,95,102
Man United,78,89,86,64,62,49,54,68,65,66
Middlesbrough,,,,,,,27,,,
Newcastle,56,56,45,43,40,44,,39,42,38
Norwich,,52,41,28,,39,,,,26
QPR,,43,30,,42,,,,,
Reading,,,43,,,,,,,
Sheffield United,,,,,,,,,,39
Southampton,,,49,54,54,59,41,37,45,51
Stoke,46,36,34,45,48,41,41,35,,
Sunderland,45,45,41,41,31,48,29,,,
Swansea,,44,47,54,46,42,45,28,,
Tottenham,55,66,66,55,58,69,86,74,67,61
Watford,,,,,,40,40,44,52,36
West Brom,56,45,53,43,38,34,43,31,,
West Ham,43,,45,40,44,65,47,48,52,49
Wigan,40,42,47,,,,,,,
Wolves,46,40,,,,,,,47,51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Man City,0.06,0.09,0.06,0.10,0.09,0.07,0.08,0.10,0.09,0.10
Liverpool,0.06,0.04,0.07,0.10,0.05,0.06,0.07,0.08,0.08,0.08
Arsenal,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.05
Chelsea,0.06,0.06,0.07,0.07,0.07,0.06,0.08,0.06,0.06,0.07
Man United,0.07,0.08,0.08,0.06,0.06,0.05,0.05,0.07,0.06,0.06
Tottenham,0.05,0.06,0.06,0.05,0.06,0.07,0.08,0.07,0.06,0.06
Everton,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.04
West Ham,0.04,0.00,0.04,0.04,0.05,0.06,0.04,0.05,0.05,0.05
Newcastle,0.05,0.05,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04
Southampton,0.00,0.00,0.05,0.05,0.06,0.06,0.04,0.04,0.04,0.05
